demand_point_index,x_coordinate,y_coordinate,2010,2011,2012,2013,2014,2015,2016,2017,2018,base2018,2019,2020
0,0.5,0.5,0.3522418022689358,0.6679316897870368,0.9585933145036089,2.911900584364206,4.338274222603535,6.561994625836078,8.4544173801017,10.59532421417319,13.119572063684156,14.877137882316166,18.16806776270609,20.692315612217058
1,1.5,0.5,0.3259398810662806,0.5919643578635456,0.862652014405164,2.5890678184616416,4.196033910620566,5.74555093098881,8.753195380143731,11.126994933942642,12.020090866258569,15.874594041540464,13.806282730890421,14.699378663206348
2,2.5,0.5,0.3737523379333782,0.5918899040131291,0.969733146470033,2.6414319730035607,3.541772339641143,5.469160784188192,8.414626658738854,10.115335503273617,14.018253749831027,13.516753192343142,21.82409024294585,25.72700848950326
3,3.5,0.5,0.4206861758559435,0.5840546661865146,0.9065469221558564,2.378576695190992,3.8881206593922575,5.846089061887669,9.08386822353854,12.424885250090412,15.012302116613936,19.106919303194157,20.187135849660983,22.77455271618451
4,4.5,0.5,0.475620673308087,0.6479399163860968,0.9815443743851558,2.665399845855353,4.218710639010316,6.776609010853476,8.851107179268856,11.731131166808472,16.355563054111933,17.491179141887706,25.604426828718854,30.228858716022316
5,5.5,0.5,0.3801563609291457,0.725188536159939,1.0760536515520638,2.7626175218626443,4.2207467625179484,6.760394719915997,9.33119628832494,14.74394287823002,17.559997747756107,25.569436058040182,23.19210748680828,26.008162356334367
6,6.5,0.5,0.4493481690725345,0.7304659806685451,1.2204839480200946,2.655186877704188,5.33359367361868,8.620496136133662,11.406750762227151,13.115854320399189,19.69641532256568,16.534061436743265,32.857537326898665,39.438098329065156
7,7.5,0.5,0.4700707366344343,0.8664738207606242,1.6154541395344262,3.2730614701824816,5.4428671253902285,8.681283577808378,11.13535201612768,14.70827172207774,19.367417499683693,21.85411113397786,28.6857090548956,33.344854832501554
8,8.5,0.5,0.5373067041355337,0.8336612216383552,1.6226909644980252,3.366533383711712,5.973267185623329,10.033183117222713,13.210567011952609,17.291626332747455,21.899847487139954,25.453744974337148,31.116289795924953,35.72451095031745
9,9.5,0.5,0.4457343704411967,0.7752790766367896,1.3162090588340372,3.7958579301336544,4.781360599663616,9.27764001793168,10.992478552816818,17.386209750235352,21.765241299637,30.173672145072423,30.5233043984403,34.90233594784195
10,10.5,0.5,0.4509741885119432,0.8011379047248836,1.809061268346988,3.864235561577178,6.008674739017583,9.578958115453252,12.609366213572274,21.9313293234419,22.60469282361016,40.57525554318115,23.951419823946683,24.624783324114944
11,11.5,0.5,0.4509475094683213,0.8782529829577711,1.6131458491959008,3.843269794089616,6.073805219938166,8.801256833166685,13.465387478266113,20.388238283528366,23.91958153259124,34.233939894052874,30.98226803071699,34.513611279779866
12,12.5,0.5,0.4882452853436773,0.9798952959969924,1.6602704468600469,3.8864652444869376,5.9512978479856535,10.206369809788532,12.501408193182185,18.25641491791609,19.594346495304716,29.766428367383902,22.27020965008197,23.608141227470597
13,13.5,0.5,0.3999438331239126,0.7716968665310188,1.4152071257202758,4.131216576139586,4.932294643888882,8.543593605605851,13.156493039488266,19.411242598197603,21.438910586866463,31.92074171561628,25.494246564204182,27.521914552873042
14,14.5,0.5,0.4148481271681603,0.7934043235068442,1.1735092458024063,2.4254520797028296,5.334341747280642,7.514479515420355,12.641713780106064,15.196772837899868,20.46925607338956,20.306890953487475,31.01422254436894,36.286705779858636
15,15.5,0.5,0.4876637561856138,0.9800869340032816,1.4779860555096198,3.687864876665343,5.448199800551582,9.801252697263552,11.58853890748541,17.098007863726,22.483464866796183,28.11694577620718,33.25437887293655,38.63983587600673
16,16.5,0.5,0.5229833104731056,0.873165379687558,1.698496253355424,3.748874624525752,6.006351705849676,9.66088110622698,12.932134841811358,16.299287581254053,23.040348304242805,23.03359306013944,36.52246975022031,43.26353047320906
17,17.5,0.5,0.4189890246147573,0.959032970510121,1.549865427495581,3.6234707347137154,5.672570034137223,9.32251011113468,12.120632169419691,15.952908326130933,22.274972587961585,23.617460639553414,34.919101111622886,41.24116537345354
18,18.5,0.5,0.3750797421569914,0.7587875510689946,1.4257460920814105,3.955870628951189,6.019918998604709,8.542997094648571,11.514167595680744,17.835597545287595,20.11752875546773,30.478457444501295,24.681391175828004,26.96332238600814
19,19.5,0.5,0.3390772231069662,0.7425058023862345,1.2779268583868515,3.735419776301217,5.409353015040636,8.334803439513127,11.297445811182357,16.620368658204956,18.328206470824977,27.266214352250156,21.74388209606502,23.45171990868504
20,20.5,0.5,0.316241496331751,0.7505534595206472,1.292959978622595,3.835199213635498,5.356258251209674,8.968361298710024,10.375175179058722,19.293653610485297,19.8694758475136,37.13061047333845,21.0211203215702,21.596942558598503
21,21.5,0.5,0.395089958013302,0.7147902824704891,1.2567895379977938,2.826873056507865,4.994441796123094,8.834654439979348,12.186952379521426,20.016464658898474,18.872922370298763,35.67548921765257,16.58583779309934,15.44229550449963
22,22.5,0.5,0.3922754750746071,0.8062062461580074,1.3692660772071743,3.0712038429355912,5.152478844397,9.10768650221134,12.321186856587126,19.506804228179643,22.01370651887067,33.878038971364674,27.027511100252724,29.53441339094375
23,23.5,0.5,0.3902617268403657,0.7852900864567159,1.1028491956043625,3.082459404590939,5.913194098175417,9.690663727147436,12.620054509318042,20.47863753473088,21.78239716887775,36.195803585556554,24.389916437171493,25.693676071318365
24,24.5,0.5,0.4176762985343272,0.689809908653605,1.064510405536214,2.852297654502485,5.375611486952066,9.203549489955062,12.970358495753036,16.789750197231918,21.234603550430585,24.42853360018968,30.12431025682792,34.569163610026585
25,25.5,0.5,0.3663132046334367,0.7459263230723235,1.26088964960282,2.906768817313526,5.425634014206383,8.796074888770972,11.983298142869078,18.602615194469287,17.696545417843538,31.841249297669705,15.88440586459204,14.97833608796629
26,26.5,0.5,0.4549098594523717,0.8335371314516722,1.162364507800508,3.1210287328831523,5.0897664911596285,7.353152111142246,9.970982251213773,15.082589131637777,18.315505400784616,25.305802892485787,24.781337939078295,28.014254208225132
